قیمت خودرو 12 مهر 1404
نام خودرو,قیمت,لینک
دنا پلاس ساده,"1,075,000,000",https://price.forsatnet.ir/car/spec/dena plus Tipe 1
دنا پلاس توربو 6 دنده (ارتقاء),"1,150,000,000",https://price.forsatnet.ir/car/spec/Dena Plus Turbo Tipe 1
پژو پارس,"935,000,000",https://price.forsatnet.ir/car/spec/Peugeot Pars
پژو پارس,"1,010,000,000",https://price.forsatnet.ir/car/spec/Peugeot Pars
پژو 206 تیپ 2,"690,000,000",https://price.forsatnet.ir/car/spec/Peugeot 206 Tip 2
پژو 2008,"2,700,000,000",https://price.forsatnet.ir/car/spec/Peugeot 2008
پراید 111,"545,000,000",https://price.forsatnet.ir/car/spec/Saipa 111
پراید 131,"485,000,000",https://price.forsatnet.ir/car/spec/Saipa 131
پراید 151,"520,000,000",https://price.forsatnet.ir/car/spec/Saipa 151
تیبا,"485,000,000",https://price.forsatnet.ir/car/spec/Tiba
تیبا 2,"500,000,000",https://price.forsatnet.ir/car/spec/Tiba 2
وانت زامیاد,"930,000,000",https://price.forsatnet.ir/car/spec/Zamyad
وانت زامیاد گازسوز,"965,000,000",https://price.forsatnet.ir/car/spec/Zamyad CNG
آریو,"990,000,000",https://price.forsatnet.ir/car/spec/Ario
کیا سراتو 2000,"2,450,000,000",https://price.forsatnet.ir/car/spec/Kia Cerato 2000
سیتروئن C3,"2,650,000,000",https://price.forsatnet.ir/car/spec/Citroen C3
پیکاپ دوکابین ریچ,"1,230,000,000",https://price.forsatnet.ir/car/spec/Dongfeng Rich Pickup
جک J4 اتوماتیک,"1,190,000,000",https://price.forsatnet.ir/car/spec/Jac J4
جک S3 اتوماتیک,"1,550,000,000",https://price.forsatnet.ir/car/spec/Jac S3
مزدا 3 New,"2,650,000,000",https://price.forsatnet.ir/car/spec/Mazda 3
بسترن B30,"1,270,000,000",https://price.forsatnet.ir/car/spec/Faw Besturn B30
آزرا گرنجور 4 سیلندر,"6,900,000,000",https://price.forsatnet.ir/car/spec/Hyundai Azera 2019
کیا سورنتو,"2,900,000,000",https://price.forsatnet.ir/car/spec/Kia Sorento 2018
رنو تالیسمان,"4,350,000,000",https://price.forsatnet.ir/car/spec/Renault Talisman
رنو کولئوس,"5,250,000,000",https://price.forsatnet.ir/car/spec/Renault Koleos 2017
بی ام سری 5 سدان 530i,"16,000,000,000",https://price.forsatnet.ir/car/spec/Bmw 530i 2018 Perfection
بی ام و X1 مدل 25I,"7,500,000,000",https://price.forsatnet.ir/car/spec/Bmw X1 25i Adventure
بی ‌ام و  28 X4,"13,000,000,000",https://price.forsatnet.ir/car/spec/Bmw X4 28 Exclusive
هیوندای النترا,"3,300,000,000",https://price.forsatnet.ir/car/spec/Hyundai Elantra 2018
میتسوبیشی اوتلندر,"5,200,000,000",https://price.forsatnet.ir/car/spec/Mitsubishi Outlander 2017
میتسوبیشی لنسر 1.8 لیتر,"2,500,000,000",https://price.forsatnet.ir/car/spec/Mitsubishi Lancer 2018
هیوندای i20,"2,200,000,000",https://price.forsatnet.ir/car/spec/Hyundai i20 2015
کیا اسپورتیج ‏ ، 4 سیلندر GT لاین,"5,200,000,000",https://price.forsatnet.ir/car/spec/Kia-sportage-GT-Line-2018
هیوندای سوناتا هیبرید ‏ ، تیپ 3 (GLS Plus),"5,000,000,000",https://price.forsatnet.ir/car/spec/Hyundai-Sonata-Hybrid-GLs-plus-2018
کیا اپتیما هیبرید,"4,900,000,000",https://price.forsatnet.ir/car/spec/kia-optima-hybrid-2018
فولکس تیگوان,"5,800,000,000",https://price.forsatnet.ir/car/spec/Volks-Wagen Tiguan 2016
هیوندای اکسنت,"2,200,000,000",https://price.forsatnet.ir/car/spec/Hyundai-Accent-2017
تویوتا پریوس تیپ C,"3,180,000,000",https://price.forsatnet.ir/car/spec/Toyota Prius
سانگ یانگ رکستون G4,"5,000,000,000",https://price.forsatnet.ir/car/spec/SsangYong Rexton G4 2018
تویوتا راوفور دو دیفرانسیل امارات,"7,400,000,000",https://price.forsatnet.ir/car/spec/Toyota RAV4 2018
فولکس واگن پاسات,"5,100,000,000",https://price.forsatnet.ir/car/spec/Volkswagen passat 2018
فولکس واگن گلف GTI,"5,000,000,000",https://price.forsatnet.ir/car/spec/Volkswagen Golf GTI 2018
بی ام و سری 3 330i,"8,200,000,000",https://price.forsatnet.ir/car/spec/BMW 330i Performance 2018
میتسوبیشی اوتلندر هیبریدی PHEV,"5,500,000,000",https://price.forsatnet.ir/car/spec/Mitsubishi Outlander PHEV Hybrid 2018
ساینا s دنده ای,"620,000,000",https://price.forsatnet.ir/car/spec/Saina-S
هیوندای سانتافه ix45 ‏ ، 4 سیلندر دو دیفرانسیل,"5,500,000,000",https://price.forsatnet.ir/car/spec/Hyundai-Santa-fe-2017
آمیکو آسنا دوکابین دنده ای,"2,100,000,000",https://price.forsatnet.ir/car/spec/amico-asena
مرسدس بنز E200,"17,500,000,000",https://price.forsatnet.ir/car/spec/Mercedes-Benz-E200-2018
تویوتا CH-R هیبرید,"5,650,000,000",https://price.forsatnet.ir/car/spec/Toyota-C-HR-hybrid-2018
کی ‌ام‌ سی T8,"2,350,000,000",https://price.forsatnet.ir/car/spec/KMC-T8
کیا سراتو 2000,"2,350,000,000",https://price.forsatnet.ir/car/spec/Kia-Cerato-2018
کیا سورنتو 4 سیلندر GT لاین,"6,900,000,000",https://price.forsatnet.ir/car/spec/Kia-Sorento-GT-line-2018
کیا اسپورتیج 4 سیلندر GT لاین,"4,900,000,000",https://price.forsatnet.ir/car/spec/Kia-sportage-GT-Line-2017
هیوندای النترا مونتاژ,"2,700,000,000",https://price.forsatnet.ir/car/spec/Hyundai-Elantra-2017
هیوندای سوناتا هیبرید ‏ ، تیپ 2 (GLS ),"5,000,000,000",https://price.forsatnet.ir/car/spec/Hyundai-Sonata-Hybrid-GLS-2018
دیگنیتی پرایم,"2,300,000,000",https://price.forsatnet.ir/car/spec/Dongfeng-Dignity
شاهین G - استاندارد,"1,100,000,000",https://price.forsatnet.ir/car/spec/Saipa-Shahin-S
فردا SX5,"1,550,000,000",https://price.forsatnet.ir/car/spec/farda-SX5
فردا 511,"1,100,000,000",https://price.forsatnet.ir/car/spec/farda-511
پورشه ماکان,"18,500,000,000",https://price.forsatnet.ir/car/spec/porsche-macan-2018
کی ‌ام‌ سی K7,"1,850,000,000",https://price.forsatnet.ir/car/spec/KMC-K7
فیدلیتی پرایم پنج نفره,"2,500,000,000",https://price.forsatnet.ir/car/spec/fidelity-prime-tipe1
فیدلیتی پرایم هفت نفره,"2,700,000,000",https://price.forsatnet.ir/car/spec/fidelity-prime-tipe2
تارا اتوماتیک - V2,"1,220,000,000",https://price.forsatnet.ir/car/spec/Tara-automatic
وانت پادرا پلاس,"1,000,000,000",https://price.forsatnet.ir/car/spec/Padra-pick-up
کوییک S دنده‌ ای,"630,000,000",https://price.forsatnet.ir/car/spec/Quick-S
دایون Y5,"1,850,000,000",https://price.forsatnet.ir/car/spec/Dayun-Y5
پژو 206 تیپ 3 پانوراما,"725,000,000",https://price.forsatnet.ir/car/spec/peugeot-206-type3-panorama
پژو 207i اتوماتیک MC - آپشنال,"1,000,000,000",https://price.forsatnet.ir/car/spec/peugeot-207-automatic-mc
فونیکس تیگو 7 پرو‏، اکسلنت,"2,100,000,000",https://price.forsatnet.ir/car/spec/fownix-tiggo-7-pro-excellent
جک S5 اتوماتیک نیوفیس,"1,890,000,000",https://price.forsatnet.ir/car/spec/jac-s5-facelift-1500
فردا T5,"1,750,000,000",https://price.forsatnet.ir/car/spec/FMC-T5
لاماری ایما,"2,600,000,000",https://price.forsatnet.ir/car/spec/lamari-eama-2021
ون اینرودز C35,"1,000,000,000",https://price.forsatnet.ir/car/spec/bahman-inroads-c35
پیکاپ کلوت مکث موتور - اتوماتیک,"1,880,000,000",https://price.forsatnet.ir/car/spec/kalut-maxmotor-at
فونیکس آریزو 6 پرو,"2,100,000,000",https://price.forsatnet.ir/car/spec/fownix-arrizo-6-pro
پیکاپ کارون زامیاد,"1,095,000,000",https://price.forsatnet.ir/car/spec/zamyad-karoon
ام وی ام X55 PRO اکسلنت اسپرت,"2,035,000,000",https://price.forsatnet.ir/car/spec/mvm-x55-pro-excellent-sport
راین R3,"810,000,000",https://price.forsatnet.ir/car/spec/rayen-r3
کی ام سی J7,"2,300,000,000",https://price.forsatnet.ir/car/spec/kmc-J7
سمند سورن پلاس دوگانه سوز,"970,000,000",https://price.forsatnet.ir/car/spec/samand-soren-plus-cng
دیگنیتی پرستیژ,"2,900,000,000",https://price.forsatnet.ir/car/spec/dignity-prestige
وانت آریسان 2 - 85 گانه,"685,000,000",https://price.forsatnet.ir/car/spec/arisun-2-cng
تیارا مکث موتور,"1,700,000,000",https://price.forsatnet.ir/car/spec/tiara-maxmotor
فونیکس FX پرمیوم,"2,150,000,000",https://price.forsatnet.ir/car/spec/fownix-fx-premium
فوتون تونلند G7 اتوماتیک,"2,950,000,000",https://price.forsatnet.ir/car/spec/foton-tunland-g7-automatic
فونیکس تیگو 8 پرو مکس اکسلنت,"3,900,000,000",https://price.forsatnet.ir/car/spec/fownix-tiggo-8-pro-max
هایما s8,"2,500,000,000",https://price.forsatnet.ir/car/spec/haima-s8
سوبا M4 فردا موتورز,"3,000,000,000",https://price.forsatnet.ir/car/spec/fmc-suba-m4
تیگارد X35,"1,690,000,000",https://price.forsatnet.ir/car/spec/Tigard-x35
ساینا s اتوماتیک - استاندارد,"775,000,000",https://price.forsatnet.ir/car/spec/Saina-S-Automatic
پیکاپ زاگرس,"1,440,000,000",https://price.forsatnet.ir/car/spec/zagros-saipa
چانگان CS35 تیپ 2,"2,300,000,000",https://price.forsatnet.ir/car/spec/changan-cs35-plus-tip2
چانگان CS35 تیپ 3,"2,500,000,000",https://price.forsatnet.ir/car/spec/changan-cs35-plus-tip3
پژو 207i دنده‌ ای Tu3 - آپشنال,"880,000,000",https://price.forsatnet.ir/car/spec/peugeot-207i-tu3
تارا اتوماتیک V4,"1,335,000,000",https://price.forsatnet.ir/car/spec/Tara-Automatic-V4
وانت پادرا (دوگانه سوز),"1,100,000,000",https://price.forsatnet.ir/car/spec/Padra-CNG
شاهین GL,"985,000,000",https://price.forsatnet.ir/car/spec/Saipa-Shahin-GL
ام وی ام X22 PRO دنده ای,"1,290,000,000",https://price.forsatnet.ir/car/spec/mvm-x22-pro-mt
اطلس G,"780,000,000",https://price.forsatnet.ir/car/spec/Saipa-Atlas-G
شاهین اتوماتیک G,"1,195,000,000",https://price.forsatnet.ir/car/spec/Saipa-Shahin-Automatic
X33 کراس اتوماتیک,"1,500,000,000",https://price.forsatnet.ir/car/spec/mvm-x33-cross
زوتی DL5 T300,"1,400,000,000",https://price.forsatnet.ir/car/spec/Zotye-DL5-t300
دایون Y7,"2,850,000,000",https://price.forsatnet.ir/car/spec/dayun-Y7
کوییک GXR,"655,000,000",https://price.forsatnet.ir/car/spec/Quik-GXR
هایما 7X,"2,235,000,000",https://price.forsatnet.ir/car/spec/Haima-7x
فونیکس تیگو 8 پرومکس (هیبرید),"4,000,000,000",https://price.forsatnet.ir/car/spec/fownix-tiggo8-pro-hybrid
بستیون T77,"1,800,000,000",https://price.forsatnet.ir/car/spec/Bestune-T77
هونگچی H5,"4,000,000,000",https://price.forsatnet.ir/car/spec/Hongqi-H5
تویوتا کرولا - 1200 سی سی,"2,850,000,000",https://price.forsatnet.ir/car/spec/Toyota-Corolla
کیا سلتوس,"3,400,000,000",https://price.forsatnet.ir/car/spec/Kia-Seltos
جتا VS7,"3,150,000,000",https://price.forsatnet.ir/car/spec/Jetta-VS7
جتا VS5,"2,900,000,000",https://price.forsatnet.ir/car/spec/Jetta-VS5
پژو 207i دنده‌ ای پانوراما آپشنال,"1,130,000,000",https://price.forsatnet.ir/car/spec/peugeot-207i-panoramic-roof
دانگ فنگ شاین مکس,"2,150,000,000",https://price.forsatnet.ir/car/spec/Dongfeng-shine-max
هیوندای اکسنت,"2,350,000,000",https://price.forsatnet.ir/car/spec/Hyundai-accent-2023
هیوندای النترا,"2,950,000,000",https://price.forsatnet.ir/car/spec/Hyundai-elantra-2023
X33 کراس دنده ای,"1,400,000,000",https://price.forsatnet.ir/car/spec/X33-cross
کی‌ ام‌ سی X5,"2,250,000,000",https://price.forsatnet.ir/car/spec/KMC-X5
پژو 207 اتوماتیک پانوراما آپشنال,"1,335,000,000",https://price.forsatnet.ir/car/spec/peugeot-207i-panorama-at
کیا سونت,"2,800,000,000",https://price.forsatnet.ir/car/spec/kia-sonet-2023
رانا پلاس (ارتقاء),"890,000,000",https://price.forsatnet.ir/car/spec/runna-plus
پیکاپ G9,"2,900,000,000",https://price.forsatnet.ir/car/spec/Bahman-G9
کوییک R تیپ S (استاندارد),"630,000,000",https://price.forsatnet.ir/car/spec/Quick-SR
فیات 500,"3,900,000,000",https://price.forsatnet.ir/car/spec/fiat-500
چانگان CS55 پلاس,"3,100,000,000",https://price.forsatnet.ir/car/spec/changan-cs55-plus
سورن پلاس موتور XU7P,"870,000,000",https://price.forsatnet.ir/car/spec/soren-plus-xu7p
هیوندای کرتا,"3,150,000,000",https://price.forsatnet.ir/car/spec/Hyundai-Creta
کی ام سی J7 EV,"1,600,000,000",https://price.forsatnet.ir/car/spec/Kmc-J7-EV
کیا K5,"4,300,000,000",https://price.forsatnet.ir/car/spec/Kia-K5-2023
فونیکس تیگو 7 پرو پریمیوم,"2,670,000,000",https://price.forsatnet.ir/car/spec/fownix-tiggo-7-pro-premium
سوزوکی سیاز,"1,970,000,000",https://price.forsatnet.ir/car/spec/suzuki-ciaz
کی‌ ام‌ سی T9,"3,400,000,000",https://price.forsatnet.ir/car/spec/KMC-T9
بک X3 پرو,"1,550,000,000",https://price.forsatnet.ir/car/spec/BAC-X3-Pro
دنا پلاس با موتور EF7P,"1,340,000,000",https://price.forsatnet.ir/car/spec/Dena-Plus-EF7P
هیوندای توسان,"4,350,000,000",https://price.forsatnet.ir/car/spec/Hyundai-Tucson-2023
جیلی آزکارا هیبرید,"2,950,000,000",https://price.forsatnet.ir/car/spec/geely-azkarra-hybrid
آریزو 6 GT,"2,550,000,000",https://price.forsatnet.ir/car/spec/Arrizo-6-GT
هوندا وزل,"3,400,000,000",https://price.forsatnet.ir/car/spec/Honda-Vezel
نیسان سانی,"1,750,000,000",https://price.forsatnet.ir/car/spec/nissan-sunny
تویوتا لوین هیبرید,"3,350,000,000",https://price.forsatnet.ir/car/spec/Toyota-Levin-Hybrid
زد ایکس اتو G9,"3,000,000,000",https://price.forsatnet.ir/car/spec/zx-auto-G9
کی‌ ام‌ سی A5,"2,100,000,000",https://price.forsatnet.ir/car/spec/Kmc-A5
لاماری ایما HEV,"3,000,000,000",https://price.forsatnet.ir/car/spec/Lamari-Eama-HEV
فیدلیتی پرستیژ پنج نفره,"3,800,000,000",https://price.forsatnet.ir/car/spec/Fidelity-Prestige-5seater
فیدلیتی پرستیژ هفت نفره,"4,100,000,000",https://price.forsatnet.ir/car/spec/Fidelity-Prestige-7seater
هونگچی EQM5,"1,850,000,000",https://price.forsatnet.ir/car/spec/Hongqi-E-QM5-EV
هوندا ENS1,"2,650,000,000",https://price.forsatnet.ir/car/spec/honda-ens1
آئودی Q5 e-tron,"5,900,000,000",https://price.forsatnet.ir/car/spec/Audi-q5-e-tron
لونا GRE,"1,440,000,000",https://price.forsatnet.ir/car/spec/Luna-GRE-EV
فولکس واگن ID4,"3,900,000,000",https://price.forsatnet.ir/car/spec/Volkswagen-ID4-EV
جی ای سی امپو,"3,300,000,000",https://price.forsatnet.ir/car/spec/Gac-Empow
جی ای سی امکو,"3,350,000,000",https://price.forsatnet.ir/car/spec/Gac-Emkoo
سوزوکی بالنو,"1,990,000,000",https://price.forsatnet.ir/car/spec/Suzuki-Baleno
سراتو 2.0 لیتر اتوماتیک GT لاین,"4,350,000,000",https://price.forsatnet.ir/car/spec/Kia-Cerato-GT-Line
ونوسیا وی آنلاین,"2,300,000,000",https://price.forsatnet.ir/car/spec/Venucia-V-Online
هیوندای کونا,"3,650,000,000",https://price.forsatnet.ir/car/spec/Hyundai-Kona-2024-2.0L
ونوسیا استار,"3,000,000,000",https://price.forsatnet.ir/car/spec/Venucia-Star
میتسوبیشی اوتلندر 2024,"5,500,000,000",https://price.forsatnet.ir/car/spec/Mitsubishi-Outlander-2024
جی ای سی GS3 Emzoom,"3,100,000,000",https://price.forsatnet.ir/car/spec/Gacgonow-GS3-Emzoom
ونوسیا D60 پلاس,"2,150,000,000",https://price.forsatnet.ir/car/spec/Venucia-D60-Plus
اسکای ول ET5,"2,400,000,000",https://price.forsatnet.ir/car/spec/Skywell-ET5
اکستریم VX,"6,600,000,000",https://price.forsatnet.ir/car/spec/Xtrim-VX
ری را,"1,795,000,000",https://price.forsatnet.ir/car/spec/Reera
سهند S,"715,000,000",https://price.forsatnet.ir/car/spec/Sahand-S
نیسان سیلفی e-POWER پلاس,"3,450,000,000",https://price.forsatnet.ir/car/spec/Nissan-Sylphy-e-power
نیسان سیلفی e-POWER مکس ادیشن,"3,750,000,000",https://price.forsatnet.ir/car/spec/Nissan-Sylphy-Max-Edition
شاهین پلاس اتوماتیک,"1,495,000,000",https://price.forsatnet.ir/car/spec/Shahin-Plu-AT6
فاو بستیون NAT,"1,335,000,000",https://price.forsatnet.ir/car/spec/FAW-Bestune-NAT
فونیکس تیگو 7 پرو E+,"2,950,000,000",https://price.forsatnet.ir/car/spec/Fownix-Tiggo7-Pro-Eplus
تویوتا کرولا 1.5 لیتر,"2,800,000,000",https://price.forsatnet.ir/car/spec/Toyota-Corolla-1.5
تویوتا کرولا هیبرید 1.8 لیتر,"3,400,000,000",https://price.forsatnet.ir/car/spec/Toyota-Corolla-Hybrid-1.8
تویوتا لوین 1.2 لیتر توربو,"3,000,000,000",https://price.forsatnet.ir/car/spec/Toyota-Levin-1.2-Turbo
نیسان قشقایی تک دیفرانسیل,"3,650,000,000",https://price.forsatnet.ir/car/spec/nissan-qashqai
کیا پگاس,"1,900,000,000",https://price.forsatnet.ir/car/spec/kia-pegas
کی ام سی ایگل 1.5 لیتر,"1,370,000,000",https://price.forsatnet.ir/car/spec/Kmc-Eagle
کیا سلتوس 1.4 لیتر توربو,"4,000,000,000",https://price.forsatnet.ir/car/spec/kia-seltos-turbo-1.4
فونیکس آریزو 8 اکسلنت,"3,750,000,000",https://price.forsatnet.ir/car/spec/fownix-arrizo-8-excellent
هاوال H6 HEV,"3,900,000,000",https://price.forsatnet.ir/car/spec/Haval-H6-HEV
تویوتا کرولا کراس هیبرید 2.0 لیتر,"4,900,000,000",https://price.forsatnet.ir/car/spec/toyota-corolla-cross-hybrid
اشکودا سوپرب 1.4 لیتر توربو,"3,500,000,000",https://price.forsatnet.ir/car/spec/skoda-superb
اکستریم TXL,"5,000,000,000",https://price.forsatnet.ir/car/spec/xtrim-txl-2.0
سوزوکی جیمنی 5 در 1.5 لیتر,"3,150,000,000",https://price.forsatnet.ir/car/spec/suzuki-jimny-5door
سانگ یانگ کوراندو 1.5 لیتر توربو 2WD,"3,200,000,000",https://price.forsatnet.ir/car/spec/ssangyong-new-korando-2wd
سانگ یانگ کوراندو 1.5 لیتر توربو AWD,"3,500,000,000",https://price.forsatnet.ir/car/spec/ssangyong-new-korando-AWD
سوزوکی فرانکس هیبرید 1.5 لیتر,"3,000,000,000",https://price.forsatnet.ir/car/spec/suzuki-fronx-hybrid
سورن پلاس دوگانه‌ سوز,"995,000,000",https://price.forsatnet.ir/car/spec/sorenplus-cng
بیجینگ X7 1.5 لیتر توربو,"3,100,000,000",https://price.forsatnet.ir/car/spec/Beijing-x7
ام جی 5 1.5 لیتر,"1,750,000,000",https://price.forsatnet.ir/car/spec/MG-5
ام جی GT,"2,400,000,000",https://price.forsatnet.ir/car/spec/MG-GT
اطلس اتوماتیک,"1,005,000,000",https://price.forsatnet.ir/car/spec/Saipa-Atlas-E-CVT
دانگ فنگ شاین مکس هیبرید 1.5 لیتر توربو,"2,250,000,000",https://price.forsatnet.ir/car/spec/dongfeng-shinemax-hybrid
آتکا,"2,500,000,000",https://price.forsatnet.ir/car/spec/Seat-Ateca
بی وای دی سانگ پلاس DMi,"4,950,000,000",https://price.forsatnet.ir/car/spec/Byd-Songplus-DMI
ساینا GX دوگانه سوز,"670,000,000",https://price.forsatnet.ir/car/spec/Saipa-Saina-GX
تانک 300,"6,350,000,000",https://price.forsatnet.ir/car/spec/Tank-300
فونیکس FX پریمیوم FWD,"2,720,000,000",https://price.forsatnet.ir/car/spec/Fownix-Fx-FWD
فونیکس FX پریمیوم AWD,"2,920,000,000",https://price.forsatnet.ir/car/spec/Fownix-Fx-AWD
کیا K5 توربو,"5,700,000,000",https://price.forsatnet.ir/car/spec/kia-k5-turbo
جک SR3,"1,700,000,000",https://price.forsatnet.ir/car/spec/JAC-SR3
بیجینگ X55,"2,850,000,000",https://price.forsatnet.ir/car/spec/beijing-x55
سهند G,"710,000,000",https://price.forsatnet.ir/car/spec/Sahand-G
سانگ یانگ موسو گرند خان ساهارا,"3,600,000,000",https://price.forsatnet.ir/car/spec/ssangyong-mussograndkhan-sahara
نیسان ترا 2.0 لیتر توربو,"4,350,000,000",https://price.forsatnet.ir/car/spec/nissan-terra
اکستریم LX,"3,800,000,000",https://price.forsatnet.ir/car/spec/xtrim-lx
فولکس تی راک 1.5 لیتر توربو,"4,700,000,000",https://price.forsatnet.ir/car/spec/volkswagen-troc
هوندا سیتی,"2,300,000,000",https://price.forsatnet.ir/car/spec/honda-city
مکسوس استار H,"3,100,000,000",https://price.forsatnet.ir/car/spec/maxus-star-h
